order_id,customer_id,amount
201,22,201.89
202,22,212.03
203,30,392.09
204,5,231.99
205,28,292.66
206,23,55.63
207,4,290.89
208,12,281.76
209,22,50.59
210,13,216.06
211,28,95.17
212,4,221.37
213,7,381.98
214,26,370.93
215,15,134.35
216,1,109.20
217,17,99.13
218,4,493.62
219,10,200.86
220,29,375.76
221,2,163.06
222,7,269.16
223,6,320.02
224,29,99.00
225,7,405.71
226,14,424.05
227,23,468.84
228,19,131.25
229,27,78.81
230,30,133.66
231,24,503.66
232,13,489.70
233,23,373.76
234,10,289.80
235,9,445.19
236,20,450.26
237,1,183.55
238,9,309.01
239,24,430.01
240,5,172.31
241,5,218.38
242,19,75.77
243,2,515.55
244,3,221.84
245,8,462.54
246,4,264.60
247,19,388.41
248,20,84.32
249,28,419.10
250,20,456.89
251,20,275.96
252,26,189.31
253,5,216.33
254,28,490.56
255,13,455.53
256,2,49.36
257,1,345.76
258,7,405.50
259,9,212.54
260,7,212.77
261,15,345.86
262,24,316.45
263,26,358.22
264,3,396.39
265,29,163.09
266,15,221.19
267,25,292.62
268,10,137.49
269,24,100.01
270,19,402.83
271,12,228.23
272,18,502.98
273,10,55.40
274,7,129.30
275,14,313.43
276,14,435.21
277,2,519.22
278,15,188.72
279,6,55.14
280,13,241.17
999,77,55.00
